TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
Saturday Nights REMIX,Khalid,2019-01-11,168,41,57,-9,35,211,63,61
Saudade,Us The Duo,2016-12-09,154,69,72,-7,74,172,34,36
Save Me,H E R B,2017-11-11,159,36,49,-13,35,84,91,59
Say So,Doja Cat,2019-11-07,111,67,79,-5,79,238,26,94
Second Time,Bruno Major,2017-03-31,93,31,63,-13,41,156,89,45
Self,Noname,2018-09-14,92,54,81,-7,81,95,86,1
Señorita,Shawn Mendes,2019-06-21,117,54,76,-6,75,191,4,88
Sensations - Live Acoustic,Elohim,2016-08-26,115,21,45,-12,13,198,98,0
September,"Earth, Wind & Fire",2013-09-10,126,91,69,-4,98,217,18,5
Sheep,Mt. Joy,2018-03-02,159,45,51,-8,32,224,46,51
Sheep,Mt. Joy,2017-01-18,81,50,50,-8,29,215,89,64
Shot Down,Khalid,2017-04-27,124,51,77,-7,49,207,89,68
Shouldn't Couldn't Wouldn't,88rising,2019-10-11,169,38,45,-8,28,195,41,59
Sick of Losing Soulmates,dodie,2016-10-14,75,24,48,-17,11,267,72,64
Silver Lining,Mt. Joy,2018-03-02,144,62,54,-7,20,199,0,67
Simple Feelings,Bailey Baum,2019-05-31,77,38,76,-11,46,178,66,48
Six Feet Under,Billie Eilish,2016-11-17,68,31,58,-13,16,190,81,77
Sleepover,Hayley Kiyoko,2017-03-03,153,81,54,-7,59,234,14,40
Slow Down,Mac Ayres,2017-08-11,119,34,73,-13,18,235,89,66
"So Sad, So Sad",Varsity,2015-08-25,114,52,40,-7,26,233,7,52
So Sick,Ne-Yo,2006-01-01,93,57,45,-8,58,207,25,76
Sober - Acoustic,Joy Oladokun,2018-10-05,82,26,71,-10,57,198,65,40
Sofia...,Leland Blue,2017-05-05,124,75,59,-5,45,312,6,44
Someone In The Crowd,Emma Stone,2016-12-09,128,54,62,-9,28,260,9,62
Someone New,BANKS,2014-01-01,87,23,58,-13,37,281,92,61
Something - Remastered 2009,The Beatles,1969-09-26,134,34,40,-11,38,182,20,71
Southern Nights,Glen Campbell,1977-01-01,95,81,70,-9,85,180,10,70
Steady,Emily Wolfe,2019-02-15,112,14,72,-9,29,249,70,32
Stickwitu,The Pussycat Dolls,2005-01-01,80,54,66,-6,43,208,27,63
Still,The Japanese House,2015-04-27,131,32,50,-10,4,198,74,48
Straightjacket,Quinn XCII,2016-12-09,137,62,83,-5,72,206,13,0
Strangers,Mt. Joy,2020-02-19,102,64,56,-8,22,193,74,64
Strangers - R3hab Remix,Sigrid,2017-12-01,115,63,72,-5,14,151,7,27
Strawberry Wine,No Suits,2016-03-15,80,64,65,-8,59,198,21,32
Strings Attached,Opia,2018-07-13,89,25,33,-13,17,266,90,44
Subway Car,Marc E. Bassy,2016-08-05,59,45,40,-8,36,218,2,45
Sugarcane,Ana Olgica,2016-12-14,114,2,36,-28,45,145,100,68
Summer,Joe Hisaishi,1998,83,20,35,-17,15,386,94,0
Summer Love,DEAMN,2018-02-13,105,87,64,-3,30,201,13,35
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2018-12-14,90,48,76,-6,91,158,56,86
Supermodel,Jill Sobule,1995-04-07,115,80,52,-8,55,188,0,32
Sushi - Interlude,Astrid S,2017-06-30,164,45,64,-13,18,85,56,30
Sweet Louise,The Belle Brigade,2011-04-15,120,44,64,-13,58,185,20,39
Take Me,MISO,2016-12-08,136,43,76,-9,36,258,50,55
Talk,Khalid,2019-02-07,136,40,90,-8,34,197,5,76
Talk,Henry Hall,2017-10-20,130,35,67,-11,27,188,59,41
talk is overrated,Jeremy Zucker,2017-10-27,138,35,78,-8,66,190,44,72
Tears in Heaven,Sungha Jung,2017-05-12,131,13,50,-20,19,260,92,35
"thank u, next",Ariana Grande,2019-02-08,107,65,72,-6,41,207,23,85
That's What I Like,Bruno Mars,2016-11-17,134,56,85,-5,86,207,1,81
The Archer,Taylor Swift,2019-08-23,124,57,29,-9,17,211,12,73
The Countess and the Common Man,Caroline O'Connor,2017-06-09,42,26,41,-12,35,182,75,39
The Emotion,BØRNS,2015-10-16,150,69,42,-6,32,225,21,53
The Man,Taylor Swift,2019-08-23,110,66,78,-5,63,190,8,82
The Mates of Soul (Remastered),Taylor John Williams,2015-08-10,95,30,79,-9,19,240,67,38
The Middle,Zedd,2018-01-23,107,66,75,-3,44,185,17,82
The Middle,Wet,2016-10-21,128,41,64,-8,7,238,7,45
The Moon and You,SondorBlue,2016-10-29,87,45,32,-7,12,279,51,37
The Moon Song,The Hound + The Fox,2014-03-10,100,7,75,-14,18,197,95,34
The Night We Met,Lord Huron,2015-04-07,87,37,55,-10,10,208,97,75
The Schuyler Sisters,Renée Elise Goldsberry,2015-09-25,101,73,74,-6,79,187,19,67
The Sound of Music,Charmian Carr,1964,177,12,19,-18,15,131,95,38
The Weekend - Funk Wav Remix,SZA,2017-12-15,102,57,78,-5,67,172,50,78
Then She Appeared - 2001 Remaster,XTC,1992,106,72,52,-6,60,232,18,44
There's a Reason,Wet,2018-03-09,105,59,62,-7,26,199,31,40
